DatasetID,year1,author1,DATA-CM (B/SR/EV) 0.1,ERR-S (B/SR/EV) 0.944,EN (EV) 1.1,EN-RSL-FW (EV) 1.922,E-EXC (EV) 2.1,E-RSL (EV) 2.922,ANG-CM (ADEG) 3.1,ANG-RSL (ADEG) 3.922,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
13516002,1991,K.H.Hicks+,-2.0459e-12,1.3127e-12,2.98e+8,7.0e+5,-5.01e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,-8.2427e-12,6.7714e-12,2.98e+8,7.0e+5,-4.76e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.96204e-11,6.9515e-12,2.98e+8,7.0e+5,-4.51e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,1.16915e-11,1.83581e-11,2.98e+8,7.0e+5,-4.26e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,-5.0759e-12,9.8828e-12,2.98e+8,7.0e+5,-4.01e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,5.4352e-12,3.9766e-12,2.98e+8,7.0e+5,-3.77e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,-1.24267e-11,8.9498e-12,2.98e+8,7.0e+5,-3.52e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,9.5453e-12,5.589e-12,2.98e+8,7.0e+5,-3.27e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,8.22e-13,1.7661e-12,2.98e+8,7.0e+5,-3.02e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
13516002,1991,K.H.Hicks+,-8.6027e-12,6.3088e-12,2.98e+8,7.0e+5,-2.77e+6,1.2e+6,2,2,8016,8-O-16,N,P,7-N-16,6,103,DAE,DAE,3,234,"8-O-16(N,P)7-N-16,,DA/DE"
